Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Att;Action de jeu;Coup de pied arrêté;CF;Tr;Tr;Ctr;PCF;Co;Rentrant;Sortant;Droit;Cmp;HJ;Balles contrées;Matchs
;Fabián Ruiz Peña;es ESP;MT;Paris S-G;28-283;1996;8.8;699;675;22;14;5;9;15;5;1;0;0;0;629;2;11;Matchs
;Gerónimo Rulli;ar ARG;GB;Marseille;32-236;1992;16.0;607;501;105;45;0;0;0;0;0;0;0;0;509;1;0;Matchs
;Emmanuel Sabbi;us USA;MT,AT;Le Havre;27-018;1997;4.9;88;83;5;1;1;0;12;1;1;0;0;0;64;0;2;Matchs
;Falaye Sacko;ml MLI;DF;Montpellier;29-255;1995;9.4;468;398;70;7;0;1;8;63;0;0;0;0;393;0;10;Matchs
;Matvei Safonov;ru RUS;GB;Paris S-G;25-321;1999;4.8;171;142;28;7;0;0;0;0;0;0;0;0;132;1;1;Matchs
;Modibo Sagnan;ml MLI;DF;Montpellier;25-272;1999;13.3;556;533;23;17;0;11;0;1;0;0;0;0;496;0;6;Matchs
;Osame Sahraoui;ma MAR;AT,MT;Lille;23-214;2001;9.1;385;376;8;3;4;0;8;4;1;0;0;0;327;1;15;Matchs
;Wesley Saïd;fr FRA;AT,MT;Lens;29-267;1995;4.2;102;94;8;1;0;1;4;1;0;0;0;0;81;0;3;Matchs
;Théo Sainte-Luce;fr FRA;MT,DF;Montpellier;26-083;1998;0.2;6;6;0;0;0;0;1;0;0;0;0;0;6;0;0;Matchs
;Ibrahim Salah;ma MAR;AT;Brest;23-134;2001;3.7;123;122;1;0;0;1;14;0;1;0;1;0;85;0;5;Matchs
;Amine Salama;fr FRA;AT;Reims;24-177;2000;3.0;63;58;5;0;0;2;3;0;0;0;0;0;49;0;4;Matchs
;Mohammed Salisu;gh GHA;DF;Monaco;25-269;1999;8.3;606;581;25;15;0;3;0;1;0;0;0;0;516;0;5;Matchs
;Yoann Salmier;gf GUF;DF;Le Havre;32-051;1992;7.6;300;277;23;13;1;4;1;9;0;0;0;0;248;0;3;Matchs
;Mama Samba Baldé;gw GNB;AT;Lyon;29-066;1995;0.4;6;6;0;0;0;0;0;0;0;0;0;0;4;0;0;Matchs
;Mama Samba Baldé;gw GNB;AT;Brest;29-066;1995;7.1;145;144;1;0;0;1;9;1;0;0;0;0;99;0;7;Matchs
;Brice Samba;fr FRA;GB;Lens;30-261;1994;15.0;512;399;112;36;0;4;0;0;0;0;0;0;415;1;0;Matchs
;Arouna Sangante;sn SEN;DF;Le Havre;22-274;2002;5.8;278;250;27;14;0;0;1;13;0;0;0;0;232;1;1;Matchs
;Nhoa Sangui;fr FRA;DF;Reims;18-319;2006;6.5;314;266;46;4;0;3;10;42;0;0;0;0;256;2;7;Matchs
;Baptiste Santamaria;fr FRA;MT;Rennes;29-308;1995;5.4;308;296;12;10;1;2;4;1;0;0;0;0;254;0;9;Matchs
;Andrey Santos;br BRA;MT;Strasbourg;20-253;2004;14.7;748;707;39;38;4;0;0;1;0;0;0;0;654;2;14;Matchs
;Tiago Santos;pt POR;DF;Lille;22-172;2002;4.5;223;201;22;1;0;0;19;21;0;0;0;0;175;0;6;Matchs
;Malang Sarr;fr FRA;DF;Lens;25-354;1999;3.3;188;180;8;7;1;1;1;1;0;0;0;0;163;0;2;Matchs
;Mamadou Sarr;fr FRA;DF;Strasbourg;19-135;2005;9.5;595;555;40;26;0;1;0;2;0;0;0;0;557;0;8;Matchs
;Martin Satriano;uy URU;AT,DF;Lens;23-326;2001;0.5;18;16;2;0;0;0;1;1;0;0;0;0;10;0;1;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Téji Savanier;fr FRA;MT;Montpellier;33-020;1991;13.1;781;612;163;61;7;28;109;11;68;21;39;0;553;6;15;Matchs
;Niklas Schmidt;de GER;MT;Toulouse;26-316;1998;2.3;180;166;14;2;0;3;16;0;12;5;7;0;142;0;4;Matchs
;Jérémy Sebas;mq MTQ;AT,MT;Strasbourg;21-272;2003;1.7;34;33;1;0;0;0;2;0;0;0;0;0;24;0;2;Matchs
;Alidu Seidu;gh GHA;DF;Rennes;24-221;2000;8.9;518;435;81;19;1;3;4;56;0;0;0;0;426;2;7;Matchs
;Marvin Senaya;tg TOG;DF;Strasbourg;23-349;2001;2.2;132;105;25;5;0;0;1;20;0;0;0;0;106;2;4;Matchs
;Djibril Sidibé;fr FRA;DF;Toulouse;32-166;1992;12.1;688;583;103;28;5;3;26;71;0;0;0;0;550;2;11;Matchs
;Vincent Sierro;ch SUI;MT;Toulouse;29-095;1995;13.7;780;697;81;40;6;5;48;2;29;9;18;0;590;2;8;Matchs
;Caio Henrique Oliveira Silva;br BRA;DF;Monaco;27-164;1997;7.9;557;440;115;25;2;1;50;68;22;12;7;0;436;2;10;Matchs
;Abdallah Sima;sn SEN;AT;Brest;23-208;2001;5.3;130;127;3;1;0;0;8;2;0;0;0;0;90;0;4;Matchs
;Moses Simon;ng NGA;AT,MT;Nantes;29-183;1995;14.1;415;358;57;11;1;0;103;13;32;20;9;0;264;0;31;Matchs
;Lassine Sinayoko;ml MLI;AT,MT;Auxerre;25-034;1999;13.5;366;352;13;1;1;0;18;1;0;0;0;0;283;1;11;Matchs
;Wilfried Singo;ci CIV;DF;Monaco;24-017;2000;13.2;845;782;58;37;0;8;9;21;0;0;0;0;716;5;5;Matchs
;Ibrahim Sissoko;ml MLI;AT;Saint-Étienne;29-045;1995;8.9;164;143;20;0;1;2;2;0;0;0;0;0;108;1;7;Matchs
;Niama Sissoko;ml MLI;AT;Reims;19-026;2005;0.2;5;5;0;0;0;0;0;0;0;0;0;0;2;0;1;Matchs
;Leo Skiri Østigård;no NOR;DF;Rennes;25-044;1999;10.9;670;643;27;15;0;4;0;1;0;0;0;0;578;0;3;Matchs
;Milan Škriniar;sk SVK;DF;Paris S-G;29-335;1995;4.2;374;360;14;8;0;2;0;1;0;0;0;0;361;0;0;Matchs
;Naatan Skyttä;fi FIN;AT;Toulouse;22-249;2002;0.1;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;Matchs
;Eduard Sobol;ua UKR;DF;Strasbourg;29-266;1995;0.5;16;13;3;0;0;0;1;3;0;0;0;0;12;0;1;Matchs
;Florian Sotoca;fr FRA;AT,MT;Lens;34-078;1990;9.1;396;376;16;2;3;0;37;8;1;0;0;0;285;4;17;Matchs
;Issa Soumaré;sn SEN;AT,MT;Le Havre;24-093;2000;6.9;181;177;2;0;0;2;10;1;0;0;0;0;116;2;6;Matchs
;Saidou Sow;gn GUI;DF;Strasbourg;22-191;2002;11.3;636;618;17;13;0;0;0;0;0;0;0;0;577;1;1;Matchs
;Lucas Stassin;be BEL;AT;Saint-Étienne;20-044;2004;6.9;139;120;19;0;1;0;6;0;0;0;0;0;97;0;6;Matchs
;Enzo Sternal;fr FRA;AT,MT;Marseille;17-228;2007;0.3;8;8;0;0;0;0;0;0;0;0;0;0;7;0;0;Matchs
;Gabriel Suazo;cl CHI;DF;Toulouse;27-155;1997;9.2;453;370;83;17;1;3;36;58;8;5;2;0;352;0;11;Matchs
;Abakar Sylla;ci CIV;DF;Strasbourg;22-017;2002;7.2;447;392;55;18;0;1;0;11;0;0;0;0;390;0;5;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Issiaga Sylla;gn GUI;DF;Montpellier;31-010;1994;8.6;388;336;52;5;2;2;19;47;0;0;0;0;299;0;11;Matchs
;Musa Al-Taamari;jo JOR;AT,MT;Montpellier;27-215;1997;8.4;225;211;13;2;0;1;12;9;1;0;0;0;178;1;11;Matchs
;Nicolás Tagliafico;ar ARG;DF;Lyon;32-133;1992;7.9;516;455;60;12;0;1;14;48;0;0;0;0;445;1;5;Matchs
;Florian Tardieu;fr FRA;MT;Saint-Étienne;32-264;1992;1.9;127;120;6;6;1;2;1;0;0;0;0;0;102;1;0;Matchs
;Oussama Targhalline;ma MAR;MT;Le Havre;22-236;2002;9.3;368;350;13;9;5;3;13;2;2;0;0;0;292;5;10;Matchs
;Enzo Tchato;cm CMR;DF;Montpellier;22-049;2002;11.8;576;458;115;17;0;0;39;98;0;0;0;0;446;3;12;Matchs
;Tanner Tessmann;us USA;MT;Lyon;23-109;2001;2.7;153;145;8;3;0;3;8;0;5;3;2;0;133;0;1;Matchs
;Teddy Teuma;mt MLT;MT;Reims;31-103;1993;3.5;282;241;39;14;0;4;23;5;14;10;3;0;219;2;7;Matchs
;Jordan Teze;nl NED;DF;Monaco;25-103;1999;3.4;176;139;37;2;0;1;4;35;0;0;0;0;142;0;5;Matchs
;Sorba Thomas;wls WAL;AT,MT;Nantes;25-142;1999;9.1;349;298;50;13;0;1;79;6;31;10;15;0;231;1;12;Matchs
;Adrien Thomasson;fr FRA;MT;Lens;31-032;1993;14.4;781;729;48;21;2;3;41;3;24;8;13;0;627;4;14;Matchs
;Corentin Tolisso;fr FRA;MT;Lyon;30-161;1994;10.9;593;565;24;13;2;5;9;11;0;0;0;0;496;4;11;Matchs
;Abdoulaye Touré;gn GUI;MT;Le Havre;30-314;1994;13.9;555;543;6;5;1;5;4;0;0;0;0;0;459;6;3;Matchs
;Birama Touré;ml MLI;MT,DF;Montpellier;32-219;1992;3.3;123;121;2;2;0;1;0;0;0;0;0;0;101;0;0;Matchs
;Ousmane Toure;fr FRA;DF;Lille;19-328;2005;0.1;6;5;1;0;0;0;0;1;0;0;0;0;4;0;0;Matchs
;Adrien Truffert;fr FRA;DF,MT;Rennes;23-052;2001;12.6;635;547;87;8;0;2;34;74;5;2;0;0;492;1;17;Matchs
;Vanderson;br BRA;DF;Monaco;23-204;2001;11.4;651;528;119;16;2;7;20;103;0;0;0;0;505;4;13;Matchs
;Jordan Veretout;fr FRA;MT;Lyon;31-316;1993;9.9;511;493;18;4;1;4;17;2;7;7;0;0;416;0;10;Matchs
;Ben Viadere;fr FRA;MT;Auxerre;19-131;2005;0.1;6;3;3;0;0;0;4;0;3;1;2;0;2;0;1;Matchs
;Vitinha;pt POR;MT;Paris S-G;24-333;2000;11.5;1170;1137;31;25;8;9;10;3;3;2;0;0;1082;2;13;Matchs
;Ibrahima Wadji;sn SEN;MT,AT;Saint-Étienne;29-251;1995;1.2;17;17;0;0;0;0;1;0;0;0;0;0;12;0;1;Matchs
;Elye Wahi;fr FRA;AT;Marseille;22-009;2003;6.4;111;102;8;0;0;1;2;0;0;0;0;0;88;1;6;Matchs
;Caleb Wiley;us USA;DF,MT;Strasbourg;20-020;2004;3.0;123;100;22;2;1;2;7;20;0;0;0;0;97;1;4;Matchs
;Christopher Wooh;cm CMR;DF;Rennes;23-115;2001;9.8;522;497;23;19;0;1;0;0;0;0;0;0;458;2;4;Matchs
;Etienne Youte Kinkoue;fr FRA;DF;Le Havre;22-363;2002;11.5;585;544;41;29;0;1;2;2;0;0;0;0;523;0;2;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Yoram Zague;fr FRA;DF;Paris S-G;18-241;2006;1.8;161;147;14;0;0;0;3;14;0;0;0;0;152;0;1;Matchs
;Wilfried Zaha;ci CIV;AT;Lyon;32-062;1992;0.8;32;31;1;1;0;0;0;0;0;0;0;0;28;0;2;Matchs
;Warren Zaïre-Emery;fr FRA;MT,DF;Paris S-G;18-309;2006;12.6;889;857;30;9;1;8;2;21;0;0;0;0;815;2;14;Matchs
;Miha Zajc;si SVN;MT;Toulouse;30-194;1994;1.5;91;88;3;2;1;0;1;0;1;1;0;0;75;0;1;Matchs
;Denis Zakaria;ch SUI;MT;Monaco;28-052;1996;10.3;530;506;23;21;3;1;3;2;0;0;0;0;473;1;1;Matchs
;Anass Zaroury;ma MAR;AT,MT;Lens;24-065;2000;7.6;295;268;25;4;2;1;46;1;15;11;0;0;189;2;16;Matchs
;Nathan Zeze;fr FRA;DF;Nantes;19-207;2005;11.6;578;562;15;9;1;2;1;2;0;0;0;0;496;1;1;Matchs
;Edon Zhegrova;xk KVX;AT,MT;Lille;25-286;1999;10.9;416;352;58;17;2;1;58;8;33;9;14;0;316;6;8;Matchs
;Luc Zogbé;ci CIV;DF;Brest;19-293;2005;3.4;182;141;41;8;0;0;7;33;0;0;0;0;140;0;1;Matchs
;Aristide Zossou;ci CIV;MT;Auxerre;19-211;2005;0.1;15;15;0;0;0;1;1;0;0;0;0;0;13;0;1;Matchs
;Yanis Zouaoui;dz ALG;DF,AT;Le Havre;30-185;1994;3.6;192;146;44;7;0;0;26;28;9;6;3;0;143;2;8;Matchs
