Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Att;Action de jeu;Coup de pied arrêté;CF;Tr;Tr;Ctr;PCF;Co;Rentrant;Sortant;Droit;Cmp;HJ;Balles contrées;Matchs
;Lucas Chevalier;fr FRA;GB;Lille;23-066;2001;17.0;525;427;97;37;1;0;0;0;0;0;0;0;399;1;0;Matchs
;Pedro Chirivella;es ESP;MT;Nantes;27-233;1997;13.8;805;758;45;31;3;4;8;2;1;0;1;0;664;2;5;Matchs
;Joris Chotard;fr FRA;MT;Montpellier;23-109;2001;7.5;310;287;22;19;3;4;9;2;0;0;0;0;256;1;4;Matchs
;Yoann Cissé;fr FRA;MT;Auxerre;20-029;2004;0.0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Jonathan Clauss;fr FRA;DF,MT;Nice;32-108;1992;9.5;467;374;91;16;1;1;53;53;22;10;9;0;344;2;10;Matchs
;Marcus Coco;fr FRA;DF;Nantes;28-201;1996;5.0;270;220;48;7;0;0;13;41;0;0;0;0;222;2;2;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Alois Confais;fr FRA;MT;Le Havre;28-126;1996;0.0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Derek Cornelius;ca CAN;DF;Marseille;27-047;1997;7.0;625;609;15;9;0;0;2;1;0;0;0;0;589;1;5;Matchs
;Pierre Cornud;fr FRA;DF;Saint-Étienne;28-030;1996;4.2;215;177;38;8;1;4;8;30;0;0;0;0;180;0;6;Matchs
;David Costa;pt POR;MT;Lens;24-006;2001;3.6;150;141;6;1;0;1;14;0;5;4;1;0;124;3;2;Matchs
;Logan Costa;cv CPV;DF;Toulouse;23-285;2001;1.0;56;55;1;0;0;0;1;1;0;0;0;0;47;0;0;Matchs
;Grégoire Coudert;fr FRA;GB;Brest;25-283;1999;1.0;38;32;6;2;0;0;0;0;0;0;0;0;29;0;0;Matchs
;Lasso Coulibaly;gh GHA;AT,MT;Auxerre;22-084;2002;0.4;10;10;0;0;0;0;1;0;0;0;0;0;9;0;0;Matchs
;Soumaïla Coulibaly;fr FRA;DF;Brest;21-089;2003;3.6;215;202;13;7;0;8;0;0;0;0;0;0;189;0;1;Matchs
;Tanguy Coulibaly;fr FRA;AT,MT;Montpellier;23-328;2001;4.9;128;123;5;0;2;0;10;4;1;1;0;0;95;0;3;Matchs
;Nicolas Cozza;fr FRA;DF,MT;Nantes;26-003;1999;12.3;438;312;122;4;1;0;13;118;0;0;0;0;333;4;13;Matchs
;Charlie Cresswell;eng ENG;DF;Toulouse;22-147;2002;12.8;693;642;51;20;0;4;2;10;0;0;0;0;568;0;4;Matchs
;Kévin Danois;fr FRA;MT;Auxerre;20-197;2004;9.8;452;438;14;7;1;8;10;7;0;0;0;0;363;0;10;Matchs
;Kevin Danso;at AUT;DF;Lens;26-114;1998;11.0;692;656;33;15;1;1;0;2;0;0;0;0;592;3;5;Matchs
;Dante;br BRA;DF;Nice;41-085;1983;8.3;589;558;29;25;1;4;1;0;0;0;0;0;514;2;5;Matchs
;Pape Daouda Diongue;sn SEN;MT,AT;Strasbourg;;;0.8;52;51;1;1;0;0;1;0;0;0;0;0;43;0;2;Matchs
;Mohammed Daramy;dk DEN;AT;Reims;23-004;2002;0.2;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;Matchs
;Jonathan David;ca CAN;AT;Lille;24-363;2000;15.1;342;321;20;0;1;2;1;0;0;0;0;0;279;1;10;Matchs
;Zuriko Davitashvili;ge GEO;MT,AT;Saint-Étienne;23-331;2001;14.2;399;335;61;20;2;0;34;8;23;7;11;0;316;3;8;Matchs
;Théo De Percin;mq MTQ;GB;Auxerre;23-344;2001;2.0;58;41;17;5;0;0;0;0;0;0;0;0;31;0;0;Matchs
;Thibault De Smet;be BEL;DF;Reims;26-220;1998;2.0;95;86;8;2;0;0;0;1;0;0;0;0;85;1;1;Matchs
;Romain Del Castillo;fr FRA;AT;Brest;28-288;1996;9.6;481;418;61;25;3;4;72;13;23;9;12;0;340;2;20;Matchs
;Ousmane Dembélé;fr FRA;AT;Paris S-G;27-241;1997;10.0;622;569;47;7;7;4;63;2;36;13;13;0;493;6;25;Matchs
;Arthur Desmas;fr FRA;GB;Le Havre;30-279;1994;16.0;462;329;132;29;0;1;0;0;0;0;0;0;369;1;0;Matchs
;Mamadou Diakhon;fr FRA;AT,MT;Reims;19-111;2005;1.8;66;62;4;1;0;1;7;2;1;0;0;0;48;0;4;Matchs
;Bafodé Diakité;fr FRA;DF;Lille;24-005;2001;17.0;1215;1169;45;33;1;4;1;2;0;0;0;0;1124;1;11;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Oumar Diakité;ci CIV;AT;Reims;21-022;2003;12.5;249;224;22;1;1;1;7;1;0;0;0;0;204;3;8;Matchs
;Habib Diarra;sn SEN;MT,AT;Strasbourg;21-008;2004;14.2;540;514;25;5;3;3;19;1;0;0;0;0;454;1;12;Matchs
;Krépin Diatta;sn SEN;DF;Monaco;25-321;1999;2.2;131;118;13;1;0;2;4;12;0;0;0;0;91;0;2;Matchs
;Kandet Diawara;gn GUI;AT;Le Havre;24-336;2000;0.0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Mahamadou Diawara;fr FRA;MT;Lyon;19-329;2005;0.2;7;7;0;0;0;0;0;0;0;0;0;0;6;0;0;Matchs
;Bamba Dieng;sn SEN;AT;Angers;24-294;2000;4.3;71;68;3;0;1;0;2;0;0;0;0;0;55;0;1;Matchs
;Kembo Diliwidi;fr FRA;DF;Lens;18-343;2006;0.0;3;3;0;0;0;0;1;0;0;0;0;0;2;0;0;Matchs
;Sinaly Diomande;ci CIV;DF;Auxerre;23-277;2001;9.8;377;352;22;19;0;4;1;3;0;0;0;0;302;3;7;Matchs
;Lois Diony;fr FRA;AT;Angers;32-022;1992;0.2;4;4;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Sofiane Diop;fr FRA;MT,AT;Nice;24-216;2000;6.2;307;271;34;11;5;3;25;2;20;7;8;0;239;2;2;Matchs
;Andy Diouf;fr FRA;MT;Lens;21-239;2003;12.4;544;517;20;13;5;0;19;0;7;5;2;0;417;7;17;Matchs
;Yehvann Diouf;fr FRA;GB;Reims;25-056;1999;16.0;592;443;144;54;0;2;0;0;0;0;0;0;412;5;1;Matchs
;Assane Dioussé;sn SEN;MT;Auxerre;27-113;1997;1.9;82;81;1;1;0;2;0;0;0;0;0;0;76;0;0;Matchs
;Álex Domínguez;es ESP;GB;Toulouse;26-165;1998;0.2;11;7;4;1;0;0;0;0;0;0;0;0;8;0;0;Matchs
;Gianluigi Donnarumma;it ITA;GB;Paris S-G;25-321;1999;11.2;321;253;68;20;0;0;0;0;0;0;0;0;279;0;0;Matchs
;Désiré Doué;fr FRA;AT;Paris S-G;19-222;2005;6.5;315;298;16;1;3;3;22;7;6;2;1;0;259;1;5;Matchs
;Guela Doué;ci CIV;DF;Strasbourg;22-086;2002;15.0;1030;871;159;36;0;1;22;120;0;0;0;0;860;0;17;Matchs
;Douglas;br BRA;MT;Nantes;27-364;1997;14.4;705;666;37;28;2;2;7;4;2;2;0;0;605;2;6;Matchs
;Ismaël Doukouré;fr FRA;MT,DF;Strasbourg;21-171;2003;12.8;667;625;40;20;2;2;1;3;0;0;0;0;577;2;6;Matchs
;Kamory Doumbia;ml MLI;MT,AT;Brest;21-328;2003;6.5;319;291;25;9;3;1;19;0;9;4;5;0;262;3;2;Matchs
;Amidou Doumbouya;fr FRA;DF;Nice;17-159;2007;0.5;25;24;1;0;0;0;2;1;0;0;0;0;19;0;2;Matchs
;Jean-Kevin Duverne;ht HAI;DF;Nantes;27-183;1997;6.0;304;250;53;6;0;0;9;47;0;0;0;0;238;1;5;Matchs
;Stefan Džodić;rs SRB;DF,MT;Montpellier;19-302;2005;2.1;123;119;4;2;0;1;0;0;0;0;0;0;112;0;0;Matchs
;Aron Dønnum;no NOR;DF,MT;Toulouse;26-266;1998;13.0;496;413;82;13;3;10;36;64;5;2;1;0;367;1;15;Matchs
;Jacques Ekomie;ga GAB;DF;Angers;21-145;2003;3.2;138;92;45;0;0;0;13;45;0;0;0;0;95;1;10;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Pierre Ekwah Elimby;fr FRA;MT,DF;Saint-Étienne;22-362;2002;12.7;629;614;15;15;1;10;1;0;0;0;0;0;555;0;7;Matchs
;Breel Embolo;ch SUI;AT;Monaco;27-332;1997;10.1;182;160;18;1;4;0;2;0;0;0;0;0;131;4;6;Matchs
;Emanuel Emegha;nl NED;AT;Strasbourg;21-343;2003;9.7;116;104;10;0;0;0;0;0;0;0;0;0;85;2;4;Matchs
