,Performance,Duels aériens,,Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,90,CJ,CR,2CrtJ,Fte,Ftp,HJ,Ctr,Int,TclR,Préussi,Pcon,CSC,Récupération,Gagnés,Perdus,% gagnés,Matchs
Duje Ćaleta-Car,hr CRO,DF,Lyon,28-111,1996,12.9,6,0,0,18,6,2,1,12,8,0,0,0,44,26,9,74.3,Matchs

Issiaga Camara,gn GUI,MT,Nice,19-339,2005,0.2,0,0,0,0,2,0,0,3,1,0,0,0,4,0,1,0.0,Matchs
Lamine Camara,sn SEN,MT,Monaco,21-005,2004,10.3,7,1,1,24,15,0,34,18,29,0,0,0,70,7,12,36.8,Matchs
Mahdi Camara,fr FRA,MT,Brest,26-190,1998,12.5,2,0,0,12,19,2,18,13,18,0,0,0,46,6,9,40.0,Matchs
Axel Camblan,fr FRA,MT,AT,Brest,21-129,2003,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matchs
Jaydee Canvot,fr FRA,MT,DF,Toulouse,18-161,2006,1.0,0,0,0,2,1,0,0,0,1,0,0,0,7,2,1,66.7,Matchs
Pierrick Capelle,fr FRA,MT,Angers,37-266,1987,3.1,2,0,0,3,1,1,7,6,7,0,0,0,16,3,3,50.0,Matchs
Maxence Caqueret,fr FRA,MT,Lyon,24-326,2000,6.4,1,0,0,4,6,1,6,7,11,0,0,0,24,1,3,25.0,Matchs
Valentin Carboni,ar ARG,MT,AT,Marseille,19-307,2005,1.1,1,0,0,5,1,0,2,1,2,0,0,0,2,2,1,66.7,Matchs
Patrik Carlgren,se SWE,GB,Nantes,32-364,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matchs
Josué Casimir,fr FRA,AT,DF,Le Havre,23-104,2001,7.5,3,0,0,12,17,4,17,1,9,2,0,0,25,3,13,18.8,Matchs
Cristian Cásseres Jr.,ve VEN,MT,Toulouse,24-352,2000,13.3,7,0,0,35,20,0,19,23,32,0,0,0,67,13,11,54.2,Matchs
Jean-Charles Castelletto,cm CMR,DF,Nantes,29-346,1995,13.8,4,0,0,16,5,0,4,11,6,0,2,0,45,26,12,68.4,Matchs
Fabien Centonze,fr FRA,DF,Nantes,28-356,1996,0.9,0,0,0,1,0,0,5,1,1,0,0,1,2,1,2,33.3,Matchs
Brendan Chardonnet,fr FRA,DF,Brest,30-015,1994,14.0,3,0,0,19,8,0,3,14,14,0,0,0,54,33,17,66.0,Matchs
Jhoanner Chávez,ec ECU,DF,MT,Lens,22-256,2002,6.6,1,0,0,10,8,2,30,6,5,0,1,0,25,7,5,58.3,Matchs
Théo Chennahi,fr FRA,MT,DF,Montpellier,19-335,2005,0.1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,,Matchs
Sidiki Cherif,fr FRA,AT,Angers,18-022,2006,3.1,0,0,0,4,8,5,3,0,4,0,0,0,8,3,15,16.7,Matchs
Rayan Cherki,fr FRA,AT,MT,Lyon,21-142,2003,7.3,2,0,0,7,13,1,45,3,5,0,0,0,31,1,3,25.0,Matchs
