Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Ludovic Blas;fr FRA;MT,AT;Rennes;27-011;1997;14.5;19;14;3;6;10;12;23;52.2;11;11;2;9;5;24;4;0;Matchs
;Augustine Boakye;gh GHA;MT,AT;Saint-Étienne;24-069;2000;4.5;6;2;3;3;0;3;9;33.3;6;2;0;2;4;10;2;0;Matchs
;Jeremie Boga;ci CIV;MT,AT;Nice;28-008;1997;6.9;6;4;1;5;0;2;3;66.7;1;9;0;9;2;8;1;0;Matchs
;Moïse Bombito;ca CAN;DF;Nice;24-287;2000;12.7;17;12;9;8;0;14;21;66.7;7;18;10;8;9;26;67;1;Matchs
;Saïmon Bouabré;fr FRA;MT,AT;Monaco;18-224;2006;0.8;0;0;0;0;0;0;3;0.0;3;1;0;1;0;0;0;0;Matchs
;Ayyoub Bouaddi;fr FRA;MT;Lille;17-101;2007;6.5;24;16;13;6;5;8;15;53.3;7;4;0;4;6;30;6;0;Matchs
;Badredine Bouanani;dz ALG;MT,AT;Nice;20-034;2004;6.3;5;2;2;2;1;1;7;14.3;6;10;2;8;5;10;3;0;Matchs
;Benjamin Bouchouari;ma MAR;MT;Saint-Étienne;23-059;2001;8.2;15;12;5;7;3;9;19;47.4;10;7;1;6;9;24;6;1;Matchs
;Hicham Boudaoui;dz ALG;MT;Nice;25-110;1999;11.9;35;19;15;14;6;15;26;57.7;11;18;4;14;13;48;23;0;Matchs
;Benjamin Bourigeaud;fr FRA;MT;Rennes;30-363;1994;0.9;1;0;0;1;0;0;2;0.0;2;2;1;1;2;3;1;0;Matchs
;Bilal Brahimi;dz ALG;MT;Nice;24-303;2000;0.8;0;0;0;0;0;0;0;;0;1;0;1;0;0;2;0;Matchs
;Lilian Brassier;fr FRA;DF;Marseille;25-070;1999;7.0;6;5;6;0;0;3;4;75.0;1;7;2;5;4;10;25;1;Matchs
;Aurélio Buta;pt POR;DF;Reims;27-336;1997;10.9;26;16;15;9;2;14;26;53.8;12;6;0;6;11;37;25;0;Matchs
;Marcin Bułka;pl POL;GB;Nice;25-099;1999;16.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;7;4;Matchs
;Rémy Cabella;fr FRA;AT,MT;Lille;34-309;1990;7.1;27;14;10;9;8;16;24;66.7;8;6;1;5;7;34;2;0;Matchs
;Mathieu Cafaro;fr FRA;MT,AT;Saint-Étienne;27-292;1997;7.6;8;6;4;3;1;3;13;23.1;10;6;1;5;7;15;3;0;Matchs
;Duje Ćaleta-Car;hr CRO;DF;Lyon;28-116;1996;12.9;15;8;8;7;0;8;14;57.1;6;24;19;5;12;27;67;2;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Issiaga Camara;gn GUI;MT;Nice;19-344;2005;0.2;2;1;0;2;0;0;1;0.0;1;0;0;0;3;5;0;0;Matchs
;Lamine Camara;sn SEN;MT;Monaco;21-010;2004;11.3;41;29;14;21;6;17;30;56.7;13;21;4;17;19;60;13;1;Matchs
;Mahdi Camara;fr FRA;MT;Brest;26-195;1998;12.5;38;18;5;22;11;11;20;55.0;9;20;2;18;13;51;14;0;Matchs
;Axel Camblan;fr FRA;MT,AT;Brest;21-134;2003;0.3;1;1;0;0;1;1;2;50.0;1;1;0;1;0;1;0;0;Matchs
;Jaydee Canvot;fr FRA;MT,DF;Toulouse;18-166;2006;1.0;1;1;1;0;0;1;2;50.0;1;1;1;0;0;1;3;0;Matchs
;Pierrick Capelle;fr FRA;MT;Angers;37-271;1987;3.1;11;7;4;5;2;3;7;42.9;4;2;1;1;6;17;1;1;Matchs
;Gabin Capuano;fr FRA;AT;Lens;18-260;2006;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Maxence Caqueret;fr FRA;MT;Lyon;24-331;2000;6.4;21;11;5;11;5;4;22;18.2;18;12;2;10;7;28;2;0;Matchs
;Valentin Carboni;ar ARG;MT,AT;Marseille;19-312;2005;1.1;2;2;0;1;1;0;1;0.0;1;1;0;1;1;3;1;0;Matchs
;Patrik Carlgren;se SWE;GB;Nantes;33-003;1992;3.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Josué Casimir;fr FRA;AT,DF;Le Havre;23-109;2001;7.5;15;9;5;8;2;4;9;44.4;5;7;0;7;1;16;16;1;Matchs
;Cristian Cásseres Jr.;ve VEN;MT;Toulouse;24-357;2000;13.3;51;32;27;20;4;21;42;50.0;21;19;3;16;23;74;18;1;Matchs
;Jean-Charles Castelletto;cm CMR;DF;Nantes;29-351;1995;14.8;14;6;5;8;1;9;14;64.3;5;12;8;4;12;26;76;0;Matchs
;Fabien Centonze;fr FRA;DF;Nantes;28-361;1996;0.9;3;1;1;1;1;1;3;33.3;2;1;0;1;1;4;7;0;Matchs
;Brendan Chardonnet;fr FRA;DF;Brest;30-020;1994;14.0;21;14;8;10;3;13;22;59.1;9;16;10;6;14;35;72;2;Matchs
;Jhoanner Chávez;ec ECU;DF,MT;Lens;22-261;2002;6.6;9;5;4;4;1;2;7;28.6;5;10;1;9;6;15;13;0;Matchs
;Théo Chennahi;fr FRA;MT,DF;Montpellier;19-340;2005;0.1;0;0;0;0;0;0;0;;0;1;0;1;0;0;0;0;Matchs
;Sidiki Cherif;fr FRA;AT;Angers;18-027;2006;3.1;4;4;0;3;1;3;4;75.0;1;2;0;2;0;4;0;1;Matchs
;Rayan Cherki;fr FRA;AT,MT;Lyon;21-147;2003;7.3;6;5;1;4;1;2;8;25.0;6;3;0;3;3;9;3;0;Matchs
;Lucas Chevalier;fr FRA;GB;Lille;23-066;2001;17.0;2;2;2;0;0;2;3;66.7;1;0;0;0;0;2;3;0;Matchs
;Pedro Chirivella;es ESP;MT;Nantes;27-233;1997;13.8;22;17;11;10;1;9;19;47.4;10;6;0;6;7;29;28;0;Matchs
;Joris Chotard;fr FRA;MT;Montpellier;23-109;2001;7.5;20;13;7;13;0;11;19;57.9;8;10;2;8;9;29;16;0;Matchs
;Yoann Cissé;fr FRA;MT;Auxerre;20-029;2004;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Jonathan Clauss;fr FRA;DF,MT;Nice;32-108;1992;9.5;27;19;15;11;1;16;26;61.5;10;12;2;10;19;46;30;0;Matchs
;Marcus Coco;fr FRA;DF;Nantes;28-201;1996;5.0;15;15;6;7;2;8;18;44.4;10;6;2;4;3;18;12;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Alois Confais;fr FRA;MT;Le Havre;28-126;1996;0.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Derek Cornelius;ca CAN;DF;Marseille;27-047;1997;7.0;10;6;7;3;0;8;10;80.0;2;7;3;4;6;16;27;0;Matchs
;Pierre Cornud;fr FRA;DF;Saint-Étienne;28-030;1996;4.2;8;8;4;3;1;7;11;63.6;4;4;1;3;5;13;13;1;Matchs
;David Costa;pt POR;MT;Lens;24-006;2001;3.6;2;0;1;1;0;1;4;25.0;3;5;1;4;1;3;0;0;Matchs
;Logan Costa;cv CPV;DF;Toulouse;23-285;2001;1.0;2;1;0;2;0;1;1;100.0;0;2;2;0;2;4;4;0;Matchs
;Grégoire Coudert;fr FRA;GB;Brest;25-283;1999;1.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matchs
;Lasso Coulibaly;gh GHA;AT,MT;Auxerre;22-084;2002;0.4;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Soumaïla Coulibaly;fr FRA;DF;Brest;21-089;2003;3.6;2;2;0;2;0;0;0;;0;4;1;3;5;7;13;0;Matchs
;Tanguy Coulibaly;fr FRA;AT,MT;Montpellier;23-328;2001;4.9;9;6;2;6;1;2;8;25.0;6;3;0;3;4;13;0;0;Matchs
;Nicolas Cozza;fr FRA;DF,MT;Nantes;26-003;1999;12.3;29;19;14;12;3;14;25;56.0;11;12;3;9;13;42;37;0;Matchs
;Charlie Cresswell;eng ENG;DF;Toulouse;22-147;2002;12.8;15;7;8;7;0;14;25;56.0;11;22;14;8;16;31;83;2;Matchs
;Kévin Danois;fr FRA;MT;Auxerre;20-197;2004;9.8;35;22;15;15;5;13;32;40.6;19;6;0;6;15;50;14;0;Matchs
;Kevin Danso;at AUT;DF;Lens;26-114;1998;11.0;17;6;12;4;1;10;14;71.4;4;24;18;6;19;36;59;1;Matchs
;Dante;br BRA;DF;Nice;41-085;1983;8.3;19;8;9;8;2;10;15;66.7;5;5;1;4;11;30;26;0;Matchs
;Pape Daouda Diongue;sn SEN;MT,AT;Strasbourg;;;0.8;1;0;0;1;0;0;0;;0;0;0;0;3;4;2;0;Matchs
;Mohammed Daramy;dk DEN;AT;Reims;23-004;2002;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;Matchs
;Jonathan David;ca CAN;AT;Lille;24-363;2000;15.1;12;3;2;7;3;4;10;40.0;6;7;2;5;3;15;4;0;Matchs
;Zuriko Davitashvili;ge GEO;MT,AT;Saint-Étienne;23-331;2001;14.2;10;5;3;5;2;8;23;34.8;15;8;0;8;9;19;3;0;Matchs
;Théo De Percin;mq MTQ;GB;Auxerre;23-344;2001;2.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;3;0;Matchs
;Thibault De Smet;be BEL;DF;Reims;26-220;1998;2.0;5;4;5;0;0;3;3;100.0;0;5;3;2;4;9;12;0;Matchs
;Romain Del Castillo;fr FRA;AT;Brest;28-288;1996;9.6;20;13;4;8;8;13;22;59.1;9;12;0;12;5;25;1;0;Matchs
;Ousmane Dembélé;fr FRA;AT;Paris S-G;27-241;1997;10.0;5;2;0;2;3;2;6;33.3;4;1;0;1;7;12;0;1;Matchs
;Arthur Desmas;fr FRA;GB;Le Havre;30-279;1994;16.0;0;0;0;0;0;0;1;0.0;1;0;0;0;0;0;7;1;Matchs
;Mamadou Diakhon;fr FRA;AT,MT;Reims;19-111;2005;1.8;5;5;2;0;3;4;5;80.0;1;0;0;0;1;6;1;0;Matchs
;Bafodé Diakité;fr FRA;DF;Lille;24-005;2001;17.0;17;11;11;4;2;13;19;68.4;6;15;8;7;16;33;46;3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Oumar Diakité;ci CIV;AT;Reims;21-022;2003;12.5;15;10;7;5;3;7;14;50.0;7;8;1;7;2;17;6;0;Matchs
