Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Timothee Pembele;fr FRA;DF;Le Havre;22-124;2002;7.5;13;9;7;5;1;4;8;50.0;4;11;4;7;5;18;27;0;Matchs
;Faris Pemi Moumbagna;cm CMR;AT;Marseille;24-194;2000;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Óscar Perea;co COL;MT;Strasbourg;19-106;2005;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Mathias Pereira Lage;pt POR;AT,MT;Brest;28-042;1996;5.8;11;8;6;3;2;4;9;44.4;5;6;1;5;6;17;10;0;Matchs
;Lucas Perri;br BRA;GB;Lyon;27-032;1997;16.0;1;1;1;0;0;0;3;0.0;3;1;0;1;0;1;10;1;Matchs
;Gaëtan Perrin;fr FRA;MT,AT;Auxerre;28-218;1996;13.2;34;18;16;8;10;18;29;62.1;11;6;0;6;8;42;2;0;Matchs
;Léo Pétrot;fr FRA;DF;Saint-Étienne;27-271;1997;11.5;36;23;22;12;2;22;25;88.0;3;21;8;13;19;55;43;0;Matchs
;Đorđe Petrović;rs SRB;GB;Strasbourg;25-095;1999;13.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;10;0;Matchs
;Tom Pouilly;fr FRA;DF;Lens;21-207;2003;0.5;2;2;1;1;0;1;1;100.0;0;1;0;1;1;3;3;0;Matchs
;Adrien Rabiot;fr FRA;MT;Marseille;29-283;1995;9.6;21;15;9;8;4;11;15;73.3;4;9;0;9;10;31;15;0;Matchs
;Gonçalo Ramos;pt POR;AT;Paris S-G;23-205;2001;2.1;4;3;2;1;1;2;2;100.0;0;1;0;1;0;4;2;0;Matchs
;Lilian Raolisoa;fr FRA;DF,AT;Angers;24-209;2000;2.7;5;3;2;1;2;1;6;16.7;5;2;1;1;2;7;5;0;Matchs
;Rayan Raveloson;mg MAD;MT,DF;Auxerre;27-361;1997;8.0;6;5;2;4;0;5;15;33.3;10;8;7;1;5;11;22;0;Matchs
;Guillaume Restes;fr FRA;GB;Toulouse;19-306;2005;15.8;2;1;2;0;0;2;2;100.0;0;0;0;0;0;2;11;0;Matchs
;Alexsandro Ribeiro;br BRA;DF;Lille;25-155;1999;15.0;17;11;8;8;1;13;20;65.0;7;11;6;5;17;34;69;1;Matchs
;Valentin Rongier;fr FRA;MT,DF;Marseille;30-035;1994;6.2;17;11;8;8;1;8;15;53.3;7;16;6;10;11;28;14;1;Matchs
;Pablo Rosario;nl NED;MT,DF;Nice;28-004;1997;13.0;15;9;4;9;2;6;12;50.0;6;12;7;5;22;37;30;2;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Jon Rowe;eng ENG;AT,MT;Marseille;21-256;2003;4.5;6;6;0;2;4;4;6;66.7;2;2;1;1;1;7;0;0;Matchs
;Fabián Ruiz Peña;es ESP;MT;Paris S-G;28-283;1996;8.8;17;10;8;6;3;8;22;36.4;14;8;1;7;10;27;10;1;Matchs
;Gerónimo Rulli;ar ARG;GB;Marseille;32-236;1992;16.0;2;1;2;0;0;2;5;40.0;3;0;0;0;0;2;15;2;Matchs
;Emmanuel Sabbi;us USA;MT,AT;Le Havre;27-018;1997;4.9;7;5;3;2;2;3;4;75.0;1;2;0;2;2;9;3;0;Matchs
;Falaye Sacko;ml MLI;DF;Montpellier;29-255;1995;9.4;13;7;9;3;1;8;15;53.3;7;14;5;9;11;24;9;0;Matchs
;Matvei Safonov;ru RUS;GB;Paris S-G;25-321;1999;4.8;0;0;0;0;0;0;0;;0;1;0;1;1;1;3;0;Matchs
;Modibo Sagnan;ml MLI;DF;Montpellier;25-272;1999;13.3;31;17;20;8;3;17;30;56.7;13;14;8;6;17;48;59;3;Matchs
;Osame Sahraoui;ma MAR;AT,MT;Lille;23-214;2001;9.1;6;4;2;2;2;1;4;25.0;3;10;1;9;4;10;5;1;Matchs
;Wesley Saïd;fr FRA;AT,MT;Lens;29-267;1995;4.2;3;2;1;2;0;1;2;50.0;1;0;0;0;0;3;1;0;Matchs
;Théo Sainte-Luce;fr FRA;MT,DF;Montpellier;26-083;1998;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Ibrahim Salah;ma MAR;AT;Brest;23-134;2001;3.7;4;2;1;1;2;1;5;20.0;4;2;0;2;1;5;0;0;Matchs
;Amine Salama;fr FRA;AT;Reims;24-177;2000;3.0;2;2;0;1;1;0;3;0.0;3;2;1;1;0;2;0;0;Matchs
;Mohammed Salisu;gh GHA;DF;Monaco;25-269;1999;8.3;20;11;11;9;0;10;10;100.0;0;9;7;2;11;31;40;2;Matchs
;Yoann Salmier;gf GUF;DF;Le Havre;32-051;1992;7.6;11;6;7;3;1;7;8;87.5;1;11;7;4;6;17;49;0;Matchs
;Mama Samba Baldé;gw GNB;AT;Lyon;29-066;1995;0.4;2;2;0;2;0;0;0;;0;0;0;0;1;3;1;0;Matchs
;Mama Samba Baldé;gw GNB;AT;Brest;29-066;1995;7.1;5;4;1;1;3;2;7;28.6;5;4;0;4;3;8;6;0;Matchs
;Brice Samba;fr FRA;GB;Lens;30-261;1994;15.0;0;0;0;0;0;0;0;;0;0;0;0;1;1;6;2;Matchs
;Arouna Sangante;sn SEN;DF;Le Havre;22-274;2002;5.8;9;7;4;5;0;5;8;62.5;3;7;4;3;14;23;21;1;Matchs
;Nhoa Sangui;fr FRA;DF;Reims;18-319;2006;6.5;9;5;1;4;4;3;6;50.0;3;6;2;4;4;13;12;0;Matchs
;Baptiste Santamaria;fr FRA;MT;Rennes;29-308;1995;5.4;11;4;7;3;1;6;11;54.5;5;10;4;6;12;23;7;0;Matchs
;Andrey Santos;br BRA;MT;Strasbourg;20-253;2004;14.7;58;39;28;25;5;25;43;58.1;18;18;5;13;14;72;22;0;Matchs
;Tiago Santos;pt POR;DF;Lille;22-172;2002;4.5;12;7;4;5;3;6;9;66.7;3;2;0;2;2;14;4;0;Matchs
;Malang Sarr;fr FRA;DF;Lens;25-354;1999;3.3;4;3;2;2;0;2;4;50.0;2;6;3;3;5;9;8;0;Matchs
;Mamadou Sarr;fr FRA;DF;Strasbourg;19-135;2005;9.5;17;10;8;8;1;10;15;66.7;5;6;5;1;9;26;33;1;Matchs
;Martin Satriano;uy URU;AT,DF;Lens;23-326;2001;0.5;3;1;1;1;1;3;3;100.0;0;0;0;0;0;3;2;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Téji Savanier;fr FRA;MT;Montpellier;33-020;1991;13.1;14;11;4;6;4;11;25;44.0;14;6;0;6;10;24;9;2;Matchs
;Niklas Schmidt;de GER;MT;Toulouse;26-316;1998;2.3;6;4;1;5;0;4;7;57.1;3;0;0;0;1;7;4;0;Matchs
;Jérémy Sebas;mq MTQ;AT,MT;Strasbourg;21-272;2003;1.7;3;2;1;1;1;2;3;66.7;1;1;0;1;0;3;2;0;Matchs
;Alidu Seidu;gh GHA;DF;Rennes;24-221;2000;8.9;22;18;14;6;2;12;15;80.0;3;13;6;7;14;36;17;0;Matchs
;Marvin Senaya;tg TOG;DF;Strasbourg;23-349;2001;2.2;6;3;3;2;1;5;11;45.5;6;5;2;3;7;13;10;0;Matchs
;Djibril Sidibé;fr FRA;DF;Toulouse;32-166;1992;12.1;38;19;18;14;6;18;29;62.1;11;8;2;6;15;53;30;0;Matchs
;Vincent Sierro;ch SUI;MT;Toulouse;29-095;1995;13.7;26;17;9;15;2;16;33;48.5;17;21;3;18;11;37;26;1;Matchs
;Caio Henrique Oliveira Silva;br BRA;DF;Monaco;27-164;1997;7.9;15;12;7;7;1;7;16;43.8;9;9;1;8;5;20;18;0;Matchs
;Abdallah Sima;sn SEN;AT;Brest;23-208;2001;5.3;5;4;0;2;3;3;5;60.0;2;2;0;2;1;6;4;0;Matchs
;Moses Simon;ng NGA;AT,MT;Nantes;29-183;1995;14.1;9;7;2;4;3;5;13;38.5;8;5;0;5;10;19;6;0;Matchs
;Lassine Sinayoko;ml MLI;AT,MT;Auxerre;25-034;1999;13.5;17;10;6;6;5;7;13;53.8;6;10;1;9;9;26;25;0;Matchs
;Wilfried Singo;ci CIV;DF;Monaco;24-017;2000;13.2;23;16;15;7;1;10;16;62.5;6;6;3;3;27;50;55;2;Matchs
;Ibrahim Sissoko;ml MLI;AT;Saint-Étienne;29-045;1995;8.9;11;9;5;3;3;2;5;40.0;3;9;1;8;2;13;13;0;Matchs
;Niama Sissoko;ml MLI;AT;Reims;19-026;2005;0.2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Leo Skiri Østigård;no NOR;DF;Rennes;25-044;1999;10.9;15;13;12;3;0;12;19;63.2;7;8;8;0;10;25;68;0;Matchs
;Milan Škriniar;sk SVK;DF;Paris S-G;29-335;1995;4.2;7;5;3;4;0;3;3;100.0;0;7;6;1;3;10;16;0;Matchs
;Naatan Skyttä;fi FIN;AT;Toulouse;22-249;2002;0.1;1;0;0;0;1;0;0;;0;0;0;0;0;1;0;0;Matchs
;Eduard Sobol;ua UKR;DF;Strasbourg;29-266;1995;0.5;0;0;0;0;0;0;0;;0;1;0;1;0;0;3;0;Matchs
;Florian Sotoca;fr FRA;AT,MT;Lens;34-078;1990;9.1;9;7;2;1;6;6;10;60.0;4;8;1;7;3;12;14;0;Matchs
;Issa Soumaré;sn SEN;AT,MT;Le Havre;24-093;2000;6.9;4;2;0;2;2;2;8;25.0;6;5;1;4;3;7;7;0;Matchs
;Saidou Sow;gn GUI;DF;Strasbourg;22-191;2002;11.3;9;5;6;3;0;6;12;50.0;6;15;9;6;15;24;37;2;Matchs
;Lucas Stassin;be BEL;AT;Saint-Étienne;20-044;2004;6.9;8;6;1;2;5;5;8;62.5;3;4;0;4;0;8;3;0;Matchs
;Enzo Sternal;fr FRA;AT,MT;Marseille;17-228;2007;0.3;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Gabriel Suazo;cl CHI;DF;Toulouse;27-155;1997;9.2;25;16;11;6;8;14;32;43.8;18;13;1;12;15;40;14;0;Matchs
;Abakar Sylla;ci CIV;DF;Strasbourg;22-017;2002;7.2;20;10;11;7;2;11;12;91.7;1;12;7;5;7;27;29;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Issiaga Sylla;gn GUI;DF;Montpellier;31-010;1994;8.6;20;6;15;5;0;12;23;52.2;11;9;3;6;7;27;24;0;Matchs
;Musa Al-Taamari;jo JOR;AT,MT;Montpellier;27-215;1997;8.4;12;8;4;4;4;7;13;53.8;6;1;0;1;3;15;1;1;Matchs
;Nicolás Tagliafico;ar ARG;DF;Lyon;32-133;1992;7.9;27;17;9;11;7;15;20;75.0;5;11;4;7;17;44;21;0;Matchs
;Florian Tardieu;fr FRA;MT;Saint-Étienne;32-264;1992;1.9;1;1;1;0;0;0;2;0.0;2;3;1;2;3;4;2;0;Matchs
;Oussama Targhalline;ma MAR;MT;Le Havre;22-236;2002;9.3;17;13;11;2;4;4;11;36.4;7;12;6;6;14;31;7;1;Matchs
;Enzo Tchato;cm CMR;DF;Montpellier;22-049;2002;11.8;25;15;17;7;1;15;28;53.6;13;19;6;13;15;40;35;0;Matchs
;Tanner Tessmann;us USA;MT;Lyon;23-109;2001;2.7;8;5;4;3;1;4;6;66.7;2;2;2;0;6;14;10;0;Matchs
;Teddy Teuma;mt MLT;MT;Reims;31-103;1993;3.5;8;4;1;4;3;5;12;41.7;7;6;1;5;5;13;4;0;Matchs
;Jordan Teze;nl NED;DF;Monaco;25-103;1999;3.4;10;5;6;3;1;3;9;33.3;6;9;1;8;2;12;4;0;Matchs
;Sorba Thomas;wls WAL;AT,MT;Nantes;25-142;1999;9.1;8;4;3;4;1;5;10;50.0;5;8;0;8;2;10;13;1;Matchs
;Adrien Thomasson;fr FRA;MT;Lens;31-032;1993;14.4;52;29;23;17;12;32;55;58.2;23;21;2;19;11;63;20;0;Matchs
;Corentin Tolisso;fr FRA;MT;Lyon;30-161;1994;10.9;28;12;14;10;4;11;25;44.0;14;18;5;13;9;37;19;1;Matchs
;Abdoulaye Touré;gn GUI;MT;Le Havre;30-314;1994;13.9;36;19;20;11;5;20;30;66.7;10;19;10;9;20;56;24;2;Matchs
;Birama Touré;ml MLI;MT,DF;Montpellier;32-219;1992;3.3;8;5;5;2;1;4;6;66.7;2;3;2;1;5;13;7;0;Matchs
;Ousmane Toure;fr FRA;DF;Lille;19-328;2005;0.1;0;0;0;0;0;0;0;;0;0;0;0;1;1;2;0;Matchs
;Adrien Truffert;fr FRA;DF,MT;Rennes;23-052;2001;12.6;28;13;12;11;5;17;23;73.9;6;18;2;16;9;37;25;0;Matchs
;Vanderson;br BRA;DF;Monaco;23-204;2001;11.4;36;20;17;15;4;21;29;72.4;8;21;5;16;25;61;23;1;Matchs
;Jordan Veretout;fr FRA;MT;Lyon;31-316;1993;9.9;13;6;6;6;1;7;20;35.0;13;10;2;8;1;14;12;0;Matchs
;Ben Viadere;fr FRA;MT;Auxerre;19-131;2005;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Vitinha;pt POR;MT;Paris S-G;24-333;2000;11.5;21;9;7;13;1;13;24;54.2;11;9;3;6;5;26;7;1;Matchs
;Ibrahima Wadji;sn SEN;MT,AT;Saint-Étienne;29-251;1995;1.2;4;4;1;2;1;3;7;42.9;4;0;0;0;0;4;0;0;Matchs
;Elye Wahi;fr FRA;AT;Marseille;22-009;2003;6.4;0;0;0;0;0;0;4;0.0;4;1;0;1;1;1;0;0;Matchs
;Caleb Wiley;us USA;DF,MT;Strasbourg;20-020;2004;3.0;1;0;0;1;0;0;1;0.0;1;3;1;2;4;5;5;0;Matchs
;Christopher Wooh;cm CMR;DF;Rennes;23-115;2001;9.8;26;12;15;9;2;14;19;73.7;5;17;7;10;11;37;35;0;Matchs
;Etienne Youte Kinkoue;fr FRA;DF;Le Havre;22-363;2002;11.5;10;4;5;5;0;7;11;63.6;4;19;11;8;13;23;64;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Yoram Zague;fr FRA;DF;Paris S-G;18-241;2006;1.8;4;3;2;1;1;2;3;66.7;1;2;0;2;2;6;2;0;Matchs
;Wilfried Zaha;ci CIV;AT;Lyon;32-062;1992;0.8;1;1;1;0;0;1;2;50.0;1;3;0;3;1;2;0;0;Matchs
;Warren Zaïre-Emery;fr FRA;MT,DF;Paris S-G;18-309;2006;12.6;32;14;10;14;8;14;27;51.9;13;22;3;19;13;45;15;2;Matchs
;Miha Zajc;si SVN;MT;Toulouse;30-194;1994;1.5;1;1;0;0;1;1;2;50.0;1;0;0;0;2;3;3;0;Matchs
;Denis Zakaria;ch SUI;MT;Monaco;28-052;1996;10.3;13;9;5;6;2;7;11;63.6;4;10;4;6;15;28;23;0;Matchs
;Anass Zaroury;ma MAR;AT,MT;Lens;24-065;2000;7.6;7;6;0;5;2;3;13;23.1;10;5;0;5;1;8;4;0;Matchs
;Nathan Zeze;fr FRA;DF;Nantes;19-207;2005;11.6;26;15;13;13;0;16;23;69.6;7;18;8;10;17;43;87;0;Matchs
;Edon Zhegrova;xk KVX;AT,MT;Lille;25-286;1999;10.9;5;2;3;0;2;2;7;28.6;5;8;0;8;4;9;1;0;Matchs
;Luc Zogbé;ci CIV;DF;Brest;19-293;2005;3.4;12;9;7;3;2;8;12;66.7;4;4;0;4;4;16;8;0;Matchs
;Aristide Zossou;ci CIV;MT;Auxerre;19-211;2005;0.1;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;Matchs
;Yanis Zouaoui;dz ALG;DF,AT;Le Havre;30-185;1994;3.6;4;3;2;1;1;2;4;50.0;2;1;0;1;2;6;7;0;Matchs
/
