Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Othmane Maamma;ma MAR;AT,MT;Montpellier;19-097;2005;0.7;10;12;83.3;192;33;6;6;100.0;1;2;50.0;3;4;75.0;1;0.2;0.5;+0.8;1;1;1;1;1;Matchs
;Deiver Machado;co COL;DF,MT;Lens;31-131;1993;6.9;251;305;82.3;3357;1049;162;174;93.1;70;89;78.7;7;18;38.9;0;0.6;1.0;-0.6;7;8;10;8;14;Matchs
;Yvann Macon;fr FRA;DF;Saint-Étienne;26-102;1998;3.2;123;166;74.1;2076;599;63;72;87.5;49;68;72.1;10;22;45.5;0;0.1;0.1;-0.1;4;12;2;0;15;Matchs
;Eros Maddy;nl NED;DF;Auxerre;23-341;2001;0.1;3;3;100.0;36;9;2;2;100.0;1;1;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Soungoutou Magassa;fr FRA;MT;Monaco;21-095;2003;7.3;344;407;84.5;6069;1751;151;173;87.3;161;173;93.1;27;45;60.0;0;0.3;0.3;-0.3;3;42;7;0;38;Matchs
;Hugo Magnetti;fr FRA;MT;Brest;26-226;1998;12.0;414;490;84.5;6533;1399;208;232;89.7;181;203;89.2;18;37;48.6;0;0.4;0.4;-0.4;5;35;1;0;37;Matchs
;Frank Magri;cm CMR;AT;Toulouse;25-129;1999;4.1;48;71;67.6;674;142;25;32;78.1;18;25;72.0;2;4;50.0;0;0.2;0.2;-0.2;2;5;2;0;11;Matchs
;Ainsley Maitland-Niles;eng ENG;DF;Lyon;27-135;1997;12.1;513;623;82.3;8079;2578;271;302;89.7;198;229;86.5;30;53;56.6;2;1.9;1.8;+0.1;13;35;15;2;56;Matchs
;Radosław Majecki;pl POL;GB;Monaco;25-056;1999;7.0;157;213;73.7;3564;2481;40;40;100.0;86;86;100.0;30;86;34.9;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Nikola Maksimović;rs SRB;DF;Montpellier;33-047;1991;6.5;288;310;92.9;5904;1883;77;82;93.9;172;177;97.2;36;46;78.3;0;0.0;0.1;0.0;2;12;2;0;11;Matchs
;Hianga Mananga Mbock;fr FRA;MT;Brest;25-014;1999;0.2;14;17;82.4;232;77;8;9;88.9;6;7;85.7;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Steve Mandanda;fr FRA;GB;Rennes;39-289;1985;15.5;333;478;69.7;8906;6673;67;67;100.0;161;167;96.4;104;242;43.0;0;0.1;0.0;-0.1;2;8;0;0;0;Matchs
;Aïssa Mandi;dz ALG;DF;Lille;33-081;1991;11.3;605;679;89.1;12177;3731;209;228;91.7;296;316;93.7;92;112;82.1;0;0.2;0.3;-0.2;2;66;5;2;54;Matchs
;Orel Mangala;be BEL;MT;Lyon;26-299;1998;0.7;29;32;90.6;535;176;10;10;100.0;11;11;100.0;6;6;100.0;0;0.0;0.1;0.0;1;5;0;0;7;Matchs
;Sekou Mara;fr FRA;AT,MT;Strasbourg;22-165;2002;6.7;101;140;72.1;1406;255;60;74;81.1;35;46;76.1;2;5;40.0;1;1.0;0.5;0.0;5;8;2;0;8;Matchs
;Marquinhos;br BRA;DF;Paris S-G;30-242;1994;11.3;1028;1086;94.7;19383;5795;340;353;96.3;584;598;97.7;97;120;80.8;0;0.2;0.5;-0.2;4;121;3;1;87;Matchs
;Jonas Martin;fr FRA;MT;Brest;34-277;1990;5.1;240;273;87.9;3811;941;128;139;92.1;90;99;90.9;15;21;71.4;0;0.3;0.4;-0.3;3;17;3;2;19;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Han-Noah Massengo;fr FRA;MT;Auxerre;23-188;2001;0.3;3;8;37.5;53;36;0;2;0.0;3;5;60.0;0;1;0.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Clinton Mata;ao ANG;DF;Lyon;32-065;1992;12.1;578;682;84.8;9893;3447;266;282;94.3;267;304;87.8;41;80;51.3;3;1.1;1.6;+1.9;9;36;11;6;43;Matchs
;Eliot Matazo;be BEL;MT;Monaco;22-331;2002;0.8;35;41;85.4;533;168;16;20;80.0;16;16;100.0;1;1;100.0;0;0.1;0.0;-0.1;1;1;0;0;7;Matchs
;Nemanja Matić;rs SRB;MT;Lyon;36-163;1988;11.1;582;679;85.7;9976;3015;267;299;89.3;248;273;90.8;50;74;67.6;0;0.6;0.9;-0.6;8;87;5;1;87;Matchs
;Azor Matusiwa;nl NED;MT;Rennes;26-258;1998;13.2;594;677;87.7;9695;2752;302;341;88.6;239;261;91.6;44;50;88.0;0;0.6;1.0;-0.6;10;66;16;1;79;Matchs
;Neal Maupay;fr FRA;AT;Marseille;28-150;1996;7.4;158;191;82.7;2146;407;93;108;86.1;43;53;81.1;10;12;83.3;4;2.0;1.0;+2.0;10;10;6;0;22;Matchs
;Christian Mawissa;fr FRA;DF;Monaco;19-268;2005;5.2;222;271;81.9;3407;1262;118;130;90.8;97;114;85.1;7;20;35.0;0;0.0;0.0;0.0;0;13;0;0;11;Matchs
;Senny Mayulu;fr FRA;MT,DF;Paris S-G;18-239;2006;2.1;70;87;80.5;1012;142;34;42;81.0;28;30;93.3;2;4;50.0;0;0.7;0.7;-0.7;4;7;2;0;10;Matchs
;Ethan Mbappé;fr FRA;MT,AT;Lille;18-013;2006;0.9;35;42;83.3;532;132;18;22;81.8;15;16;93.8;1;1;100.0;0;0.0;0.1;0.0;0;3;2;0;4;Matchs
;Ibrahim Mbaye;fr FRA;AT,MT;Paris S-G;16-353;2008;1.0;30;35;85.7;501;68;11;14;78.6;16;16;100.0;2;3;66.7;0;0.0;0.0;0.0;0;1;1;0;3;Matchs
;Mark McKenzie;us USA;DF;Toulouse;25-321;1999;13.7;520;618;84.1;9631;3811;198;223;88.8;273;311;87.8;44;72;61.1;0;0.0;0.1;0.0;1;32;0;0;38;Matchs
;Facundo Medina;ar ARG;DF,MT;Lens;25-228;1999;13.7;739;854;86.5;12241;4274;355;378;93.9;323;349;92.6;50;98;51.0;0;0.4;1.1;-0.4;9;62;15;2;75;Matchs
;Henrik Meister;dk DEN;AT;Rennes;21-055;2003;0.7;11;14;78.6;94;32;9;9;100.0;0;1;0.0;0;0;;0;0.3;0.0;-0.3;2;1;0;0;1;Matchs
;Bamo Meïté;ci CIV;DF,MT;Marseille;23-039;2001;0.3;26;28;92.9;333;121;18;19;94.7;7;7;100.0;0;0;;0;0.0;0.0;0.0;0;2;0;0;0;Matchs
;Mohamed Meité;fr FRA;AT;Rennes;17-092;2007;0.1;1;1;100.0;6;1;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Farid El Melali;dz ALG;AT;Angers;27-251;1997;11.4;203;283;71.7;3090;906;116;137;84.7;62;82;75.6;17;42;40.5;2;2.3;2.1;-0.3;15;7;7;1;19;Matchs
;Nuno Mendes;pt POR;DF;Paris S-G;22-206;2002;7.0;514;587;87.6;8445;2175;239;259;92.3;240;266;90.2;29;42;69.0;1;0.9;0.8;+0.1;7;41;10;5;44;Matchs
;Antoine Mendy;fr FRA;DF;Nice;20-229;2004;5.5;233;295;79.0;4066;1382;97;108;89.8;112;133;84.2;22;46;47.8;0;0.0;0.2;0.0;1;19;6;3;19;Matchs
;Nampalys Mendy;sn SEN;MT;Lens;32-202;1992;1.2;71;77;92.2;1125;311;41;42;97.6;23;24;95.8;5;8;62.5;0;0.0;0.1;0.0;0;15;0;0;7;Matchs
;Gideon Mensah;gh GHA;DF;Auxerre;26-177;1998;11.3;416;537;77.5;7134;3044;210;234;89.7;161;203;79.3;38;77;49.4;1;1.5;0.9;-0.5;7;28;13;6;47;Matchs
;Quentin Merlin;fr FRA;DF,MT;Marseille;22-240;2002;7.0;429;503;85.3;7091;1374;207;225;92.0;189;212;89.2;25;47;53.2;3;0.8;0.5;+2.2;5;33;7;3;39;Matchs
;Rafik Messali;fr FRA;MT;Toulouse;21-258;2003;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Thomas Meunier;be BEL;DF;Lille;33-121;1991;7.1;374;483;77.4;6220;1898;184;203;90.6;160;208;76.9;26;53;49.1;0;0.1;0.5;-0.1;2;41;3;1;38;Matchs
;Lucas Michel;fr FRA;MT;Monaco;20-266;2004;0.3;;;;;;;;;;;;;;;0;;;;;;;;;Matchs
;Georges Mikautadze;ge GEO;AT;Lyon;24-072;2000;6.6;154;202;76.2;2149;436;87;107;81.3;50;67;74.6;6;8;75.0;1;1.0;1.0;0.0;6;12;7;0;26;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Igor Miladinović;rs SRB;AT;Saint-Étienne;21-217;2003;0.2;5;7;71.4;80;7;2;3;66.7;3;3;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Takumi Minamino;jp JPN;MT,AT;Monaco;29-361;1995;10.7;200;298;67.1;2798;1092;123;164;75.0;67;93;72.0;5;13;38.5;1;3.7;2.6;-2.7;20;31;13;0;43;Matchs
;Lucas Mincarelli;fr FRA;DF;Montpellier;21-006;2004;2.8;97;126;77.0;1555;669;51;60;85.0;35;40;87.5;6;18;33.3;0;0.2;0.5;-0.2;1;8;2;2;11;Matchs
;Mostafa Mohamed;eg EGY;AT;Nantes;27-044;1997;5.8;59;102;57.8;1014;307;23;40;57.5;24;32;75.0;9;13;69.2;0;0.1;0.2;-0.1;2;11;5;0;14;Matchs
;Florent Mollet;fr FRA;MT,AT;Nantes;33-053;1991;1.8;67;83;80.7;984;262;36;39;92.3;27;32;84.4;3;10;30.0;0;0.3;0.2;-0.3;6;6;3;1;6;Matchs
;Diego Moreira;pt POR;DF,MT;Strasbourg;20-158;2004;14.1;488;645;75.7;7906;2043;252;296;85.1;189;251;75.3;36;61;59.0;4;3.5;3.0;+0.5;13;17;10;2;43;Matchs
;Gabriel Moscardo;br BRA;MT;Reims;19-105;2005;0.4;14;16;87.5;213;43;9;11;81.8;3;3;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;1;0;2;Matchs
;Yael Mouanga;fr FRA;DF;Montpellier;19-172;2005;1.0;52;58;89.7;975;234;19;22;86.4;28;28;100.0;5;7;71.4;0;0.0;0.0;0.0;0;1;0;0;2;Matchs
;Aimen Moueffek;fr FRA;MT;Saint-Étienne;23-277;2001;5.5;157;181;86.7;2240;572;97;107;90.7;49;59;83.1;5;6;83.3;0;0.2;0.1;-0.2;3;19;0;0;15;Matchs
;Youssoufa Moukoko;de GER;AT,MT;Nice;20-052;2004;2.1;30;38;78.9;433;146;17;19;89.5;9;12;75.0;2;2;100.0;1;0.8;0.2;+0.2;5;2;1;1;5;Matchs
;Louis Mouton;fr FRA;MT;Saint-Étienne;22-222;2002;7.0;251;319;78.7;4334;1174;121;139;87.1;94;114;82.5;27;43;62.8;1;1.1;0.8;-0.1;10;22;3;0;25;Matchs
;Ngal'Ayel Mukau;cd COD;MT;Lille;20-042;2004;6.9;322;351;91.7;5358;1066;155;165;93.9;145;152;95.4;18;20;90.0;0;0.2;0.3;-0.2;5;28;4;1;31;Matchs
;Marshall Munetsi;zw ZIM;MT;Reims;28-203;1996;14.8;203;292;69.5;2960;957;119;151;78.8;60;85;70.6;12;26;46.2;0;1.6;1.6;-1.6;13;11;3;1;21;Matchs
;Junior Mwanga;fr FRA;MT;Strasbourg;21-245;2003;3.3;133;147;90.5;2097;556;68;75;90.7;56;59;94.9;7;9;77.8;0;0.0;0.1;0.0;1;11;0;0;10;Matchs
;Djylian N'Guessan;fr FRA;AT;Saint-Étienne;16-134;2008;0.0;1;1;100.0;7;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Mickael Nade;fr FRA;DF;Saint-Étienne;25-313;1999;7.6;343;395;86.8;6558;1809;117;126;92.9;189;204;92.6;34;60;56.7;1;0.4;0.3;+0.6;3;23;2;0;22;Matchs
;Bilal Nadir;fr FRA;MT;Marseille;21-044;2003;0.7;57;61;93.4;832;174;29;30;96.7;24;27;88.9;1;1;100.0;0;0.0;0.0;0.0;0;7;1;0;4;Matchs
;Mahamadou Nagida;cm CMR;DF;Rennes;19-197;2005;3.6;123;157;78.3;1872;467;69;80;86.3;37;48;77.1;10;16;62.5;0;0.3;0.2;-0.3;2;7;2;2;9;Matchs
;Keito Nakamura;jp JPN;AT;Reims;24-167;2000;13.8;266;359;74.1;4445;989;136;164;82.9;90;122;73.8;27;43;62.8;1;1.2;1.6;-0.2;8;15;13;4;41;Matchs
;Sebastian Nanasi;se SWE;AT,MT;Strasbourg;22-240;2002;12.8;320;415;77.1;5008;1538;189;222;85.1;101;126;80.2;21;43;48.8;3;2.0;2.2;+1.0;16;41;20;1;71;Matchs
;Yael Nandjou;fr FRA;DF;Nice;19-189;2005;1.7;50;66;75.8;723;256;28;32;87.5;22;28;78.6;0;3;0.0;0;0.7;0.6;-0.7;2;5;1;1;3;Matchs
;Youssouf Ndayishimiye;bi BDI;DF,MT;Nice;26-076;1998;7.5;387;435;89.0;6478;1778;173;183;94.5;190;201;94.5;19;41;46.3;0;0.1;0.1;-0.1;2;19;2;0;23;Matchs
;Junior Ndiaye;fr FRA;AT,MT;Montpellier;19-288;2005;0.8;9;16;56.3;102;9;5;7;71.4;2;5;40.0;0;0;;0;0.0;0.0;0.0;0;0;1;0;1;Matchs
;Rassoul Ndiaye;sn SEN;MT;Le Havre;23-031;2001;7.0;187;249;75.1;2923;815;101;117;86.3;70;93;75.3;11;18;61.1;0;0.5;0.6;-0.5;6;17;5;1;28;Matchs
;Tanguy Ndombele;fr FRA;MT;Nice;28-014;1996;10.5;343;398;86.2;5287;1607;193;213;90.6;126;145;86.9;19;27;70.4;2;2.3;1.1;-0.3;17;32;8;0;48;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Loïc Nego;hu HUN;DF,AT;Le Havre;33-362;1991;9.7;295;406;72.7;4663;1682;163;190;85.8;109;139;78.4;18;49;36.7;0;0.2;0.6;-0.2;5;22;9;6;30;Matchs
;João Neves;pt POR;MT;Paris S-G;20-106;2004;12.1;918;1010;90.9;14766;3336;491;528;93.0;336;359;93.6;69;86;80.2;6;3.1;3.0;+2.9;22;93;16;2;90;Matchs
;Mikayil Ngor Faye;sn SEN;DF;Rennes;20-181;2004;6.4;396;448;88.4;7308;2219;159;168;94.6;207;226;91.6;26;44;59.1;0;0.0;0.3;0.0;1;32;1;0;30;Matchs
;Steve Ngoura;fr FRA;AT;Le Havre;19-324;2005;3.2;37;57;64.9;556;181;18;28;64.3;13;15;86.7;3;3;100.0;0;0.4;0.1;-0.4;2;2;2;0;8;Matchs
;Moussa Niakhate;sn SEN;DF;Lyon;28-309;1996;12.3;621;696;89.2;11576;4434;217;233;93.1;350;380;92.1;46;66;69.7;0;0.2;0.4;-0.2;3;37;5;1;41;Matchs
;Abdoulaye Niakhate Ndiaye;sn SEN;DF;Brest;22-276;2002;5.6;268;320;83.8;5167;1896;88;105;83.8;150;162;92.6;29;50;58.0;0;0.0;0.1;0.0;1;14;1;0;16;Matchs
;Ibrahima Niane;sn SEN;AT;Angers;25-306;1999;7.6;101;148;68.2;1344;214;65;86;75.6;21;31;67.7;6;11;54.5;0;0.2;0.3;-0.2;4;9;1;0;5;Matchs
;Rasmus Nicolaisen;dk DEN;DF;Toulouse;27-301;1997;6.9;339;385;88.1;6199;2362;145;160;90.6;159;169;94.1;31;48;64.6;1;0.2;0.2;+0.8;2;20;2;0;27;Matchs
;Arnaud Nordin;fr FRA;AT;Montpellier;26-208;1998;12.2;213;308;69.2;3047;530;132;167;79.0;63;90;70.0;11;22;50.0;0;0.8;1.1;-0.8;13;6;11;6;19;Matchs
;Ernest Nuamah;gh GHA;AT,MT;Lyon;21-071;2003;4.6;143;177;80.8;2083;356;93;100;93.0;34;45;75.6;12;17;70.6;0;0.3;0.4;-0.3;5;4;6;0;14;Matchs
;Rabby Nzingoula;cg CGO;MT;Montpellier;19-047;2005;9.0;198;266;74.4;3326;796;99;118;83.9;80;98;81.6;17;30;56.7;0;0.5;0.5;-0.5;4;10;4;0;24;Matchs
;M'Bala Nzola;ao ANG;AT;Lens;28-146;1996;9.4;128;172;74.4;1454;208;90;114;78.9;17;26;65.4;4;5;80.0;1;1.1;0.6;-0.1;16;3;5;0;11;Matchs
;Marwann Nzuzi;fr FRA;DF;Saint-Étienne;20-240;2004;1.4;46;55;83.6;707;322;21;22;95.5;20;26;76.9;2;3;66.7;0;0.1;0.1;-0.1;1;3;1;1;2;Matchs
;Hamzat Ojediran;ng NGA;MT,AT;Lens;21-058;2003;3.3;153;181;84.5;2447;775;78;86;90.7;57;62;91.9;13;20;65.0;0;0.4;0.4;-0.4;2;19;2;0;18;Matchs
;Joseph Okumu;ke KEN;DF;Reims;27-230;1997;6.4;284;340;83.5;6225;2588;68;75;90.7;168;181;92.8;46;80;57.5;0;0.0;0.1;0.0;1;29;1;1;31;Matchs
;Ben Old;nz NZL;MT,AT;Saint-Étienne;22-151;2002;4.2;62;86;72.1;1002;289;33;37;89.2;26;33;78.8;3;11;27.3;0;0.7;0.4;-0.7;4;2;2;1;7;Matchs
;Warmed Omari;km COM;DF;Lyon;24-263;2000;0.1;6;6;100.0;145;40;0;0;;5;5;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Becir Omeragic;ch SUI;DF;Montpellier;22-357;2002;9.3;373;413;90.3;6674;1979;141;151;93.4;194;200;97.0;31;48;64.6;0;0.0;0.2;0.0;1;26;4;1;33;Matchs
;Ado Onaiwu;jp JPN;MT,AT;Auxerre;29-064;1995;5.7;144;200;72.0;1926;461;82;111;73.9;41;51;80.4;7;9;77.8;0;0.4;0.5;-0.4;6;15;5;3;16;Matchs
;Christopher Operi;ci CIV;DF,AT;Le Havre;27-257;1997;13.0;533;747;71.4;9424;3412;236;259;91.1;228;295;77.3;58;155;37.4;2;2.2;3.2;-0.2;24;36;20;13;52;Matchs
;Victor Orakpo;ng NGA;AT;Nice;18-211;2006;0.4;15;17;88.2;218;43;10;11;90.9;4;4;100.0;1;1;100.0;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Gift Orban;ng NGA;AT,DF;Lyon;22-178;2002;2.1;22;33;66.7;369;117;11;14;78.6;5;7;71.4;4;6;66.7;0;0.0;0.1;0.0;1;1;1;0;2;Matchs
;Gabriel Osho;ng NGA;DF;Auxerre;26-150;1998;11.1;416;478;87.0;8189;2916;127;139;91.4;241;259;93.1;45;72;62.5;0;0.0;0.1;0.0;0;29;0;0;27;Matchs
;Jibril Othman;tn TUN;AT;Saint-Étienne;20-260;2004;0.1;1;1;100.0;10;0;1;1;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Guimissongui Ouattara;fr FRA;AT,MT;Strasbourg;19-081;2005;0.8;29;34;85.3;427;156;12;14;85.7;16;18;88.9;0;1;0.0;0;0.1;0.1;-0.1;2;3;1;0;5;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kassoum Ouattara;fr FRA;DF,AT;Monaco;20-089;2004;3.7;153;190;80.5;2619;911;70;82;85.4;67;76;88.2;12;22;54.5;1;1.3;1.1;-0.3;5;11;7;6;15;Matchs
;Zinédine Ould Khaled;fr FRA;MT;Angers;24-363;2000;0.6;15;17;88.2;257;24;6;8;75.0;8;8;100.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;2;Matchs
;Beres Owusu;fr FRA;DF;Saint-Étienne;21-114;2003;1.0;20;32;62.5;375;121;9;10;90.0;7;13;53.8;4;8;50.0;0;0.0;0.0;0.0;1;1;1;0;3;Matchs
;Elisha Owusu;gh GHA;MT;Auxerre;27-065;1997;15.4;408;517;78.9;6480;1781;203;242;83.9;172;205;83.9;22;43;51.2;1;0.7;0.4;+0.3;7;36;4;1;50;Matchs
;Willian Pacho;ec ECU;DF;Paris S-G;23-087;2001;13.3;1083;1149;94.3;18828;5335;384;399;96.2;644;662;97.3;43;67;64.2;1;0.1;0.2;+0.9;1;42;1;0;34;Matchs
;Nicolas Pallois;fr FRA;DF;Nantes;37-114;1987;10.0;330;385;85.7;6930;2399;91;107;85.0;190;200;95.0;44;67;65.7;1;0.1;0.1;+0.9;2;21;0;0;21;Matchs
;Kévin Pedro;fr FRA;DF;Saint-Étienne;18-325;2006;0.1;6;11;54.5;89;35;4;5;80.0;2;6;33.3;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Théo Pellenard;fr FRA;DF;Auxerre;30-313;1994;0.5;15;20;75.0;239;37;8;9;88.9;6;8;75.0;1;2;50.0;0;0.0;0.1;0.0;0;1;1;1;1;Matchs
;Timothee Pembele;fr FRA;DF;Le Havre;22-124;2002;7.5;246;313;78.6;3907;1428;119;136;87.5;111;133;83.5;11;21;52.4;0;0.0;0.1;0.0;1;11;3;2;22;Matchs
;Faris Pemi Moumbagna;cm CMR;AT;Marseille;24-194;2000;0.1;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Óscar Perea;co COL;MT;Strasbourg;19-106;2005;0.1;4;4;100.0;76;6;0;0;;4;4;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
;Mathias Pereira Lage;pt POR;AT,MT;Brest;28-042;1996;5.8;92;151;60.9;1457;567;50;71;70.4;33;50;66.0;7;16;43.8;2;1.2;1.1;+0.8;7;9;4;2;11;Matchs
;Lucas Perri;br BRA;GB;Lyon;27-032;1997;16.0;363;499;72.7;9255;6430;78;78;100.0;199;204;97.5;86;215;40.0;0;0.0;0.0;0.0;0;14;0;0;0;Matchs
;Gaëtan Perrin;fr FRA;MT,AT;Auxerre;28-218;1996;13.2;314;443;70.9;5355;1914;161;192;83.9;96;128;75.0;41;84;48.8;4;4.2;2.2;-0.2;31;33;9;3;52;Matchs
;Léo Pétrot;fr FRA;DF;Saint-Étienne;27-271;1997;11.5;379;486;78.0;6253;2357;190;212;89.6;163;198;82.3;22;55;40.0;1;0.4;0.5;+0.6;5;23;7;4;20;Matchs
;Đorđe Petrović;rs SRB;GB;Strasbourg;25-095;1999;13.0;502;636;78.9;12477;8409;108;108;100.0;277;282;98.2;117;245;47.8;0;0.0;0.0;0.0;0;14;1;0;1;Matchs
;Tom Pouilly;fr FRA;DF;Lens;21-207;2003;0.5;24;36;66.7;367;112;11;15;73.3;13;18;72.2;0;1;0.0;0;0.0;0.1;0.0;0;0;0;0;1;Matchs
;Adrien Rabiot;fr FRA;MT;Marseille;29-283;1995;9.6;530;614;86.3;7399;1576;303;330;91.8;191;219;87.2;12;21;57.1;1;0.7;0.7;+0.3;6;62;4;0;60;Matchs
;Gonçalo Ramos;pt POR;AT;Paris S-G;23-205;2001;2.1;28;37;75.7;310;79;20;23;87.0;6;8;75.0;0;0;;2;1.2;0.6;+0.8;7;1;2;0;3;Matchs
;Lilian Raolisoa;fr FRA;DF,AT;Angers;24-209;2000;2.7;89;120;74.2;1521;705;37;40;92.5;42;54;77.8;7;19;36.8;2;1.3;0.6;+0.7;5;11;5;3;13;Matchs
;Rayan Raveloson;mg MAD;MT,DF;Auxerre;27-361;1997;8.0;271;313;86.6;5021;1334;117;124;94.4;104;115;90.4;44;56;78.6;0;0.2;0.3;-0.2;3;19;6;0;31;Matchs
;Guillaume Restes;fr FRA;GB;Toulouse;19-306;2005;15.8;349;465;75.1;8331;5708;93;94;98.9;175;177;98.9;77;190;40.5;0;0.0;0.0;0.0;0;4;0;0;0;Matchs
;Alexsandro Ribeiro;br BRA;DF;Lille;25-155;1999;15.0;1064;1175;90.6;21042;7326;302;325;92.9;663;700;94.7;86;130;66.2;1;0.1;0.4;+0.9;3;104;3;1;98;Matchs
;Valentin Rongier;fr FRA;MT,DF;Marseille;30-035;1994;6.2;438;479;91.4;6194;1624;276;293;94.2;140;150;93.3;11;17;64.7;0;0.2;0.2;-0.2;5;35;0;0;27;Matchs
;Pablo Rosario;nl NED;MT,DF;Nice;28-004;1997;13.0;446;520;85.8;7742;2746;198;219;90.4;213;231;92.2;29;51;56.9;1;0.3;0.4;+0.7;11;45;10;1;54;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jon Rowe;eng ENG;AT,MT;Marseille;21-256;2003;4.5;124;149;83.2;1735;338;75;80;93.8;41;50;82.0;4;9;44.4;2;2.8;0.9;-0.8;9;3;5;2;12;Matchs
;Fabián Ruiz Peña;es ESP;MT;Paris S-G;28-283;1996;8.8;629;699;90.0;10031;2552;337;359;93.9;230;247;93.1;46;59;78.0;1;1.6;1.6;-0.6;16;65;13;3;89;Matchs
;Gerónimo Rulli;ar ARG;GB;Marseille;32-236;1992;16.0;509;607;83.9;11308;7392;132;133;99.2;279;282;98.9;94;187;50.3;0;0.0;0.0;0.0;1;3;0;0;0;Matchs
;Emmanuel Sabbi;us USA;MT,AT;Le Havre;27-018;1997;4.9;64;88;72.7;913;226;35;46;76.1;20;27;74.1;4;8;50.0;0;0.4;0.2;-0.4;3;2;4;1;9;Matchs
;Falaye Sacko;ml MLI;DF;Montpellier;29-255;1995;9.4;393;468;84.0;6389;2486;188;206;91.3;173;199;86.9;21;40;52.5;1;0.1;0.2;+0.9;5;32;2;1;47;Matchs
;Matvei Safonov;ru RUS;GB;Paris S-G;25-321;1999;4.8;132;171;77.2;3322;2121;21;21;100.0;77;77;100.0;33;70;47.1;0;0.0;0.0;0.0;0;1;0;0;0;Matchs
;Modibo Sagnan;ml MLI;DF;Montpellier;25-272;1999;13.3;496;556;89.2;10551;3552;129;134;96.3;288;303;95.0;72;102;70.6;0;0.5;0.5;-0.5;5;24;3;0;21;Matchs
;Osame Sahraoui;ma MAR;AT,MT;Lille;23-214;2001;9.1;327;385;84.9;4653;1159;199;222;89.6;105;119;88.2;12;17;70.6;3;2.8;3.1;+0.2;21;32;24;1;52;Matchs
;Wesley Saïd;fr FRA;AT,MT;Lens;29-267;1995;4.2;81;102;79.4;978;210;57;63;90.5;18;24;75.0;2;6;33.3;0;0.2;0.3;-0.2;4;4;5;0;12;Matchs
;Théo Sainte-Luce;fr FRA;MT,DF;Montpellier;26-083;1998;0.2;6;6;100.0;105;42;2;2;100.0;2;2;100.0;1;1;100.0;0;0.0;0.0;0.0;1;0;1;1;0;Matchs
;Ibrahim Salah;ma MAR;AT;Brest;23-134;2001;3.7;85;123;69.1;1204;237;47;55;85.5;21;36;58.3;8;15;53.3;1;0.6;0.4;+0.4;6;2;2;2;7;Matchs
;Amine Salama;fr FRA;AT;Reims;24-177;2000;3.0;49;63;77.8;836;161;25;29;86.2;15;18;83.3;7;7;100.0;0;0.2;0.2;-0.2;3;4;1;0;7;Matchs
;Mohammed Salisu;gh GHA;DF;Monaco;25-269;1999;8.3;516;606;85.1;9164;4100;206;239;86.2;276;299;92.3;34;62;54.8;0;0.0;0.1;0.0;3;39;2;0;59;Matchs
;Yoann Salmier;gf GUF;DF;Le Havre;32-051;1992;7.6;248;300;82.7;4863;1646;79;88;89.8;142;153;92.8;27;51;52.9;0;0.2;0.2;-0.2;1;18;1;0;20;Matchs
;Mama Samba Baldé;gw GNB;AT;Lyon;29-066;1995;0.4;4;6;66.7;37;22;3;5;60.0;0;0;;0;0;;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Mama Samba Baldé;gw GNB;AT;Brest;29-066;1995;7.1;99;145;68.3;1424;244;47;64;73.4;32;42;76.2;9;13;69.2;1;1.0;0.7;0.0;8;6;3;2;9;Matchs
