Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Mathieu Cafaro;fr FRA;MT,AT;Saint-Étienne;27-292;1997;7.6;150;208;72.1;2443;665;79;98;80.6;57;74;77.0;13;31;41.9;0;1.2;1.1;-1.2;11;12;8;3;15;Matchs
;Duje Ćaleta-Car;hr CRO;DF;Lyon;28-116;1996;12.9;649;716;90.6;12420;4175;204;221;92.3;392;411;95.4;49;73;67.1;0;0.1;0.9;-0.1;2;40;0;0;31;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Issiaga Camara;gn GUI;MT;Nice;19-344;2005;0.2;15;16;93.8;197;57;9;9;100.0;5;5;100.0;0;1;0.0;0;0.0;0.0;0.0;0;2;0;0;2;Matchs
;Lamine Camara;sn SEN;MT;Monaco;21-010;2004;11.3;572;679;84.2;10426;3029;238;277;85.9;255;275;92.7;67;104;64.4;3;2.2;2.0;+0.8;19;63;11;3;72;Matchs
;Mahdi Camara;fr FRA;MT;Brest;26-195;1998;12.5;431;500;86.2;6663;1357;211;233;90.6;188;206;91.3;15;29;51.7;1;0.8;1.0;+0.2;13;30;8;5;43;Matchs
;Axel Camblan;fr FRA;MT,AT;Brest;21-134;2003;0.3;3;7;42.9;44;23;2;5;40.0;1;2;50.0;0;0;;0;0.0;0.0;0.0;0;1;0;0;2;Matchs
;Jaydee Canvot;fr FRA;MT,DF;Toulouse;18-166;2006;1.0;26;27;96.3;454;99;12;12;100.0;12;12;100.0;2;2;100.0;0;0.0;0.0;0.0;0;1;0;0;1;Matchs
;Pierrick Capelle;fr FRA;MT;Angers;37-271;1987;3.1;94;124;75.8;1523;385;48;58;82.8;41;53;77.4;3;8;37.5;0;0.0;0.3;0.0;0;11;0;0;10;Matchs
;Gabin Capuano;fr FRA;AT;Lens;18-260;2006;0.1;2;2;100.0;22;6;2;2;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Maxence Caqueret;fr FRA;MT;Lyon;24-331;2000;6.4;274;343;79.9;4339;1547;138;164;84.1;109;124;87.9;17;28;60.7;0;0.4;0.6;-0.4;10;39;10;0;50;Matchs
