Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Buts;Tirs;TC;TC%;Tir/90;TC/90;B/Tir;B/TC;Dist;CF;PénM;PénT;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matchs
Loïc Nego;hu HUN;DF,AT;Le Havre;33-362;1991;9.7;0;7;2;28.6;0.72;0.21;0.00;0.00;14.8;0;0;0;0.5;0.5;0.07;-0.5;-0.5;Matchs
João Neves;pt POR;MT;Paris S-G;20-106;2004;12.1;2;18;5;27.8;1.49;0.41;0.11;0.40;13.7;0;0;0;1.9;1.9;0.11;+0.1;+0.1;Matchs
Mikayil Ngor Faye;sn SEN;DF;Rennes;20-181;2004;6.4;0;4;2;50.0;0.63;0.31;0.00;0.00;14.2;0;0;0;0.3;0.3;0.06;-0.3;-0.3;Matchs
Steve Ngoura;fr FRA;AT;Le Havre;19-324;2005;3.2;0;10;2;20.0;3.11;0.62;0.00;0.00;11.9;0;0;0;1.3;1.3;0.13;-1.3;-1.3;Matchs
Moussa Niakhate;sn SEN;DF;Lyon;28-309;1996;12.3;0;2;1;50.0;0.16;0.08;0.00;0.00;7.8;0;0;0;0.1;0.1;0.06;-0.1;-0.1;Matchs
Abdoulaye Niakhate Ndiaye;sn SEN;DF;Brest;22-276;2002;5.6;0;4;1;25.0;0.71;0.18;0.00;0.00;9.8;0;0;0;0.4;0.4;0.09;-0.4;-0.4;Matchs
Ibrahima Niane;sn SEN;AT;Angers;25-306;1999;7.6;3;20;9;45.0;2.65;1.19;0.10;0.22;15.3;0;1;1;4.0;3.2;0.16;-1.0;-1.2;Matchs
Rasmus Nicolaisen;dk DEN;DF;Toulouse;27-301;1997;6.9;0;5;0;0.0;0.72;0.00;0.00;;8.7;0;0;0;0.4;0.4;0.09;-0.4;-0.4;Matchs
Arnaud Nordin;fr FRA;AT;Montpellier;26-208;1998;12.2;4;25;11;44.0;2.06;0.90;0.12;0.27;18.6;0;1;2;4.0;2.5;0.10;0.0;+0.5;Matchs
Ernest Nuamah;gh GHA;AT,MT;Lyon;21-071;2003;4.6;0;12;2;16.7;2.63;0.44;0.00;0.00;18.0;0;0;0;1.0;1.0;0.09;-1.0;-1.0;Matchs
Rabby Nzingoula;cg CGO;MT;Montpellier;19-047;2005;9.0;1;9;3;33.3;1.00;0.33;0.11;0.33;20.2;0;0;0;0.7;0.7;0.07;+0.3;+0.3;Matchs
M'Bala Nzola;ao ANG;AT;Lens;28-146;1996;9.4;4;29;11;37.9;3.10;1.18;0.14;0.36;13.1;0;0;0;5.3;5.3;0.18;-1.3;-1.3;Matchs
Marwann Nzuzi;fr FRA;DF;Saint-Etienne;20-240;2004;1.4;0;2;1;50.0;1.44;0.72;0.00;0.00;24.9;0;0;0;0.0;0.0;0.02;0.0;0.0;Matchs
Hamzat Ojediran;ng NGA;MT,AT;Lens;21-058;2003;3.3;1;6;2;33.3;1.80;0.60;0.17;0.50;17.9;0;0;0;0.4;0.4;0.08;+0.6;+0.6;Matchs
Joseph Okumu;ke KEN;DF;Reims;27-230;1997;6.4;1;4;1;25.0;0.62;0.16;0.25;1.00;23.4;0;0;0;0.4;0.4;0.09;+0.6;+0.6;Matchs
Ben Old;nz NZL;MT,AT;Saint-Etienne;22-151;2002;4.2;0;8;2;25.0;1.91;0.48;0.00;0.00;18.0;0;0;0;0.8;0.8;0.10;-0.8;-0.8;Matchs
Warmed Omari;km COM;DF;Lyon;24-263;2000;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Becir Omeragic;ch SUI;DF;Montpellier;22-357;2002;9.3;0;5;2;40.0;0.54;0.21;0.00;0.00;16.1;0;0;0;0.2;0.2;0.04;-0.2;-0.2;Matchs
Ado Onaiwu;jp JPN;MT,AT;Auxerre;29-064;1995;5.7;2;15;8;53.3;2.62;1.40;0.13;0.25;12.4;0;0;0;2.9;2.9;0.20;-0.9;-0.9;Matchs
Christopher Operi;ci CIV;DF,AT;Le Havre;27-257;1997;13.0;0;7;1;14.3;0.54;0.08;0.00;0.00;22.0;2;0;0;0.3;0.3;0.04;-0.3;-0.3;Matchs
Victor Orakpo;ng NGA;AT;Nice;18-211;2006;0.4;0;2;0;0.0;5.00;0.00;0.00;;10.4;0;0;0;0.3;0.3;0.16;-0.3;-0.3;Matchs
Gift Orban;ng NGA;AT,DF;Lyon;22-178;2002;2.1;2;4;3;75.0;1.94;1.45;0.50;0.67;8.7;0;0;0;1.2;1.2;0.30;+0.8;+0.8;Matchs
Gabriel Osho;ng NGA;DF;Auxerre;26-150;1998;11.1;1;3;2;66.7;0.27;0.18;0.33;0.50;6.9;0;0;0;0.7;0.7;0.24;+0.3;+0.3;Matchs
Jibril Othman;tn TUN;AT;Saint-Etienne;20-260;2004;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Guimissongui Ouattara;fr FRA;AT,MT;Strasbourg;19-081;2005;0.8;1;2;1;50.0;2.61;1.30;0.50;1.00;15.3;0;0;0;0.1;0.1;0.07;+0.9;+0.9;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Kassoum Ouattara;fr FRA;DF,AT;Monaco;20-089;2004;3.7;0;2;1;50.0;0.54;0.27;0.00;0.00;21.2;0;0;0;0.2;0.2;0.08;-0.2;-0.2;Matchs
